Estado,Clave municipal,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Aguascalientes,01001,Aguascalientes," 4,599.54 "," 2,864.73 ", 788.53 ," 141,045.66 "," 32,052.01 "," 37,792.51 "," 13,841.86 "
Aguascalientes,01002,Asientos, 845.33 , 481.92 , 7.21 ," 3,523.82 "," 1,206.45 "," 2,583.87 "," 5,184.06 "
Aguascalientes,01003,Calvillo, 380.53 , 185.05 , 12.40 ," 5,771.45 "," 1,559.52 "," 4,224.63 ", 385.30 
Aguascalientes,01004,Cosío, 108.56 , 53.64 , 3.29 ," 1,413.77 ", 695.83 ," 1,638.38 "," 2,244.46 "
Aguascalientes,01005,Jesús María, 708.14 , 456.89 , 51.70 ," 13,743.97 "," 3,258.04 "," 5,279.23 "," 1,580.30 "
Aguascalientes,01006,Pabellón de Arteaga, 225.88 , 151.66 , 53.04 ," 4,569.20 "," 1,509.71 "," 3,655.54 "," 7,725.68 "
Aguascalientes,01007,Rincón de Romos, 358.63 , 222.06 , 13.70 ," 7,448.08 "," 1,664.63 "," 3,039.07 "," 3,492.56 "
Aguascalientes,01008,San José de Gracia, 120.25 , 32.35 , 1.39 , 870.16 , 291.55 , 598.67 , 256.87 
Aguascalientes,01009,Tepezalá, 348.37 , 205.06 ," 2,616.43 "," 3,800.97 "," 3,398.85 "," 2,304.44 "," 2,050.12 "
Aguascalientes,01010,El Llano, 263.25 , 111.76 , 6.05 ," 2,120.45 ", 981.62 ," 2,384.22 "," 5,146.61 "
Aguascalientes,01011,San Francisco de los Romo, 417.23 , 235.96 , 102.38 ," 4,950.18 "," 1,942.57 "," 4,129.55 "," 4,975.01 "
Baja California,02001,Ensenada," 4,706.83 "," 2,457.16 ", 474.85 ," 42,267.20 "," 9,156.91 "," 14,293.11 "," 1,445.74 "
Baja California,02002,Mexicali," 11,900.20 "," 5,207.18 "," 1,354.73 "," 77,630.36 "," 24,133.65 "," 29,249.91 "," 3,770.55 "
Baja California,02003,Tecate, 352.09 , 250.77 , 63.35 ," 7,455.75 "," 2,018.82 "," 3,498.91 ", 428.36 
