date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2022-01-01 00:00:00,2.6,3.5,44.900000000000006,48.5,15.0,134.0,91.0,705.5,0.0,46.0,5.3,2.7755575615628914e-17,21.37,3.4000000000000004,267.0
2022-01-01 01:00:00,2.23,2.9000000000000004,32.9,36.0,19.0,141.0,112.61,705.2,0.0,48.0,6.1,2.7755575615628914e-17,20.83,3.3,259.0
2022-01-01 02:00:00,1.99,2.9000000000000004,27.6,30.7,21.0,117.0,92.46,705.1,0.0,46.0,5.8,2.7755575615628914e-17,20.52,5.9,233.0
2022-01-01 03:00:00,2.03,18.18,34.730000000000004,53.11000000000001,18.0,108.0,69.2,704.8,0.0,46.0,6.0,2.7755575615628914e-17,20.12,5.1,220.0
2022-01-01 04:00:00,1.86,11.57,35.43000000000001,47.2,20.0,106.0,68.03,704.8,0.0,46.0,5.6,2.7755575615628914e-17,19.85,4.7,244.0
2022-01-01 05:00:00,1.76,8.120000000000001,28.0,36.33,20.0,81.0,49.64,704.7,0.0,42.0,5.3,2.7755575615628914e-17,19.8,4.2,132.0
2022-01-01 06:00:00,1.55,2.8,16.4,19.4,22.0,71.0,39.01,704.9,0.0,37.0,4.9,2.7755575615628914e-17,20.05,4.3,235.0
2022-01-01 07:00:00,1.41,2.9000000000000004,13.5,16.5,21.0,59.0,26.4,705.3,0.0,31.0,4.6,2.7755575615628914e-17,21.15,5.1,222.0
2022-01-01 08:00:00,1.31,3.0,13.1,16.3,17.0,57.0,16.85,705.7,0.0,26.0,4.1,0.008,22.53,5.9,209.0
2022-01-01 09:00:00,1.39,6.6,16.5,23.4,13.0,52.0,10.42,706.2,0.0,27.0,3.9,0.038,23.41,4.2,97.0
2022-01-01 10:00:00,1.58,17.1,23.5,40.8,12.0,54.0,9.79,706.8,0.0,23.0,4.1,0.122,27.53,4.5,148.0
2022-01-01 11:00:00,1.32,5.8,11.7,17.7,26.0,68.0,15.87,707.1,0.0,18.0,3.6,0.488,30.19,8.5,123.0
2022-01-01 12:00:00,1.29,5.5,10.8,16.5,30.0,62.0,9.12,706.8,0.0,17.0,5.1,0.605,30.99,10.7,104.0
2022-01-01 13:00:00,1.26,3.5999999999999996,7.0,10.900000000000002,39.0,67.0,7.940000000000001,706.1,0.0,16.0,3.9,0.67,31.97,11.2,115.0
2022-01-01 14:00:00,1.27,3.5999999999999996,7.699999999999999,11.5,43.0,61.0,6.739999999999998,705.4,0.0,13.0,4.4,0.675,33.48,7.5,134.0
2022-01-01 15:00:00,1.24,3.2,6.4,9.9,51.0,58.0,6.650000000000002,705.1,0.0,11.0,4.0,0.599,34.34,6.4,87.0
2022-01-01 16:00:00,1.16,2.8,4.0,7.0,43.0,54.0,5.98,705.0,0.0,6.0,3.0,0.246,34.16,10.2,284.0
2022-01-01 17:00:00,1.18,2.7,5.200000000000001,8.2,43.0,48.0,5.169999999999998,705.2,0.0,8.0,3.1,0.0559999999999999,33.81,6.1,219.0
2022-01-01 18:00:00,1.29,2.8,9.5,12.5,41.0,42.0,9.76,705.7,0.0,14.0,3.3,0.0189999999999999,30.95,4.5,103.0
2022-01-01 19:00:00,1.43,2.5999999999999996,15.4,18.2,29.0,47.0,9.749999999999998,706.2,0.0,13.0,3.2,0.001,28.54,5.5,180.0
2022-01-01 20:00:00,1.44,3.0999999999999996,26.3,29.6,14.0,42.0,10.179999999999998,706.8,0.0,14.0,3.2,2.7755575615628914e-17,26.66,3.5999999999999996,216.0
2022-01-01 21:00:00,1.38,2.9000000000000004,21.0,24.0,17.0,38.0,7.510000000000002,707.2,0.0,15.0,3.0,2.7755575615628914e-17,25.14,3.7,228.0
2022-01-01 22:00:00,1.45,2.8,24.7,27.6,15.0,36.0,7.789999999999999,707.5,0.0,16.0,4.4,2.7755575615628914e-17,24.69,4.3,200.0
2022-01-01 23:00:00,1.36,2.7,17.4,20.3,21.0,43.0,12.3,707.8,0.0,16.0,4.0,2.7755575615628914e-17,24.63,4.8,188.0
2022-01-02 00:00:00,1.44,2.9000000000000004,26.6,29.7,12.0,40.0,11.04,708.0,0.0,18.0,5.5,2.7755575615628914e-17,23.42,4.3,220.0
2022-01-02 01:00:00,1.48,3.0999999999999996,28.0,31.3,10.0,48.0,13.76,708.4,0.0,21.0,5.3,2.7755575615628914e-17,22.27,4.0,222.0
2022-01-02 02:00:00,1.25,2.5999999999999996,13.9,16.7,23.0,43.0,8.68,708.7,0.0,19.0,7.2,2.7755575615628914e-17,22.96,7.1,216.0
2022-01-02 03:00:00,1.29,2.5999999999999996,18.0,20.8,18.0,40.0,9.250000000000002,709.2,0.0,20.0,6.0,2.7755575615628914e-17,22.11,4.4,241.0
2022-01-02 04:00:00,1.27,3.2699999999999996,14.0,16.8,23.0,47.0,15.41,710.2,0.0,20.0,5.6,2.7755575615628914e-17,21.67,9.3,321.0
2022-01-02 05:00:00,1.2,2.5,5.200000000000001,7.899999999999999,36.0,141.0,17.95,712.1,0.0,20.0,4.2,2.7755575615628914e-17,20.02,11.2,22.0
2022-01-02 06:00:00,1.16,2.5,4.0,6.699999999999999,37.0,186.0,12.07,713.3,0.0,20.0,4.3,2.7755575615628914e-17,18.5,12.7,18.0
2022-01-02 07:00:00,1.26,2.390000000000001,6.5,9.2,31.0,109.0,13.47,714.4,0.0,27.0,5.5,2.7755575615628914e-17,16.16,11.2,22.0
2022-01-02 08:00:00,1.22,2.8,8.5,11.4,27.0,123.0,18.13,715.8,0.0,35.0,4.4,0.008,13.39,12.1,38.0
2022-01-02 09:00:00,1.23,5.6,14.7,20.4,22.0,140.0,17.49,717.3,0.0,36.0,5.8,0.0429999999999999,11.48,14.5,67.0
2022-01-02 10:00:00,1.19,7.3,10.6,18.1,22.0,147.0,15.66,718.7,0.0,37.0,8.6,0.112,9.87,13.8,75.0
2022-01-02 11:00:00,1.21,7.5,9.8,17.5,23.0,122.0,14.41,719.7,0.0,35.0,6.9,0.467,10.03,11.7,63.0
2022-01-02 12:00:00,1.18,6.5,8.8,15.6,27.0,114.0,13.03,719.7,0.0,30.0,5.4,0.599,11.0,9.9,30.0
