date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2022-01-01 00:00:00,2.36,19.8,48.400000000000006,68.0,5.0,142.0,111.0,715.7,-1.734723475976807e-18,59.0,4.0,0.0,21.65,6.5,285.0
2022-01-01 01:00:00,2.29,10.8,44.5,55.10000000000001,6.0,168.0,112.15999999999998,715.5,-1.734723475976807e-18,59.0,4.6,0.0,21.21,7.1,284.0
2022-01-01 02:00:00,2.71,28.299999999999997,47.10000000000001,75.2,4.0,203.0,139.31,715.4,-1.734723475976807e-18,62.0,5.9,0.0,21.21,7.7,290.0
2022-01-01 03:00:00,2.31,19.6,42.1,61.5,5.0,262.0,177.68,715.1,-1.734723475976807e-18,59.0,5.5,0.0,20.44,8.2,294.0
2022-01-01 04:00:00,1.85,13.0,39.5,52.5,4.0,185.0,134.21,715.1,-1.734723475976807e-18,59.0,4.9,0.0,19.8,8.1,287.0
2022-01-01 05:00:00,1.3,5.4,25.6,30.9,8.0,133.0,92.62,715.0,-1.734723475976807e-18,66.0,4.1,0.0,18.35,7.8,284.0
2022-01-01 06:00:00,1.11,6.1,21.8,27.9,8.999999999999996,93.0,47.8,715.0,-1.734723475976807e-18,61.0,4.1,0.0,18.61,7.299999999999999,283.0
2022-01-01 07:00:00,0.83,6.0,17.1,23.1,12.0,72.0,26.37,715.4,-1.734723475976807e-18,49.0,4.0,0.0,19.8,8.8,279.0
2022-01-01 08:00:00,0.79,12.3,19.4,31.7,7.0,48.0,19.07,715.9,-1.734723475976807e-18,39.0,3.8,0.007,21.67,8.0,262.0
2022-01-01 09:00:00,0.92,17.7,22.5,40.1,7.0,47.0,19.27,716.7,-1.734723475976807e-18,37.0,4.4,0.072,23.06,6.2,215.0
2022-01-01 10:00:00,0.84,17.1,19.6,36.6,13.0,61.0,13.06,717.7,-1.734723475976807e-18,30.0,5.4,0.228,27.93,6.2,90.0
2022-01-01 11:00:00,0.5500000000000002,5.2,7.200000000000001,12.5,29.0,59.0,8.21,718.0,-1.734723475976807e-18,20.0,3.4,0.338,30.8,9.6,108.0
2022-01-01 12:00:00,0.53,4.5,6.7,11.2,35.0,59.0,8.03,717.9,-1.734723475976807e-18,19.0,2.8999999999999995,0.405,32.45,8.7,132.0
2022-01-01 13:00:00,0.53,4.3,6.3,10.6,37.0,59.0,6.460000000000001,717.0,-1.734723475976807e-18,18.0,2.8999999999999995,0.4349999999999999,33.18,12.7,140.0
2022-01-01 14:00:00,0.5500000000000002,4.1,6.7,10.8,41.0,41.0,6.43,716.3,-1.734723475976807e-18,17.0,3.0,0.4209999999999999,33.99,10.4,130.0
2022-01-01 15:00:00,0.56,3.9,7.4,11.3,47.0,43.0,6.85,715.8,-1.734723475976807e-18,16.0,3.2,0.358,34.41,11.3,105.0
2022-01-01 16:00:00,0.54,3.5999999999999996,7.6,11.2,49.0,51.0,6.57,715.7,-1.734723475976807e-18,15.0,3.0,0.253,34.66,8.7,131.0
2022-01-01 17:00:00,0.59,3.5999999999999996,10.1,13.7,47.0,37.0,7.85,715.9,-1.734723475976807e-18,15.0,3.0,0.142,34.16,8.2,91.0
2022-01-01 18:00:00,0.97,14.4,27.6,41.9,22.0,45.0,8.81,716.2,-1.734723475976807e-18,17.0,3.6,0.017,31.79,5.1,183.0
2022-01-01 19:00:00,1.54,41.7,41.6,83.09999999999998,4.0,41.0,10.84,716.6,-1.734723475976807e-18,25.0,3.6,0.001,27.15,4.199999999999999,262.0
2022-01-01 20:00:00,1.87,65.1,41.6,106.5,4.0,51.0,16.27,717.2,-1.734723475976807e-18,27.0,3.7,0.0,25.76,4.7,245.0
2022-01-01 21:00:00,1.36,37.1,36.1,73.1,4.0,54.0,16.89,717.6,-1.734723475976807e-18,28.999999999999996,3.2,0.0,24.2,5.9,267.0
2022-01-01 22:00:00,1.17,22.0,33.8,55.8,6.0,47.0,14.0,718.0,-1.734723475976807e-18,28.0,3.8,0.0,24.45,4.4,210.0
2022-01-01 23:00:00,1.56,53.4,35.0,88.3,3.0,50.0,13.73,718.4,-1.734723475976807e-18,32.0,4.1,0.0,23.31,4.9,264.0
2022-01-02 00:00:00,1.5,42.6,34.0,76.4,3.0,53.0,17.2,718.6,-1.734723475976807e-18,37.0,4.7,0.0,21.94,5.1,242.0
2022-01-02 01:00:00,0.97,14.0,26.4,40.4,8.999999999999996,46.0,11.04,718.9,-1.734723475976807e-18,31.000000000000004,4.3,0.0,22.51,8.8,270.0
2022-01-02 02:00:00,0.76,4.6,25.6,30.2,11.0,31.0,11.4,719.3,-1.734723475976807e-18,24.0,6.5,0.0,23.96,8.4,278.0
2022-01-02 03:00:00,0.51,3.3,11.5,14.7,25.0,32.0,6.18,719.9,-1.734723475976807e-18,20.0,5.4,0.0,25.18,10.4,268.0
2022-01-02 04:00:00,0.49,3.0,9.4,12.4,28.0,24.0,10.6,721.2,-1.734723475976807e-18,21.0,4.6,0.0,23.6,11.3,292.0
2022-01-02 05:00:00,0.4,2.7,3.4000000000000004,6.1,38.0,121.0,12.7,723.5,-1.734723475976807e-18,21.0,3.3,0.0,20.6,7.1,109.0
2022-01-02 06:00:00,0.4,2.5999999999999996,4.699999999999999,7.4,35.0,128.0,10.64,724.8,-1.734723475976807e-18,25.0,2.8,0.0,18.72,8.0,298.0
2022-01-02 07:00:00,0.4299999999999999,2.5999999999999996,5.7,8.3,31.0,109.0,14.6,726.3,-1.734723475976807e-18,35.0,2.7,0.0,15.72,11.3,347.0
2022-01-02 08:00:00,0.4399999999999999,2.7,6.5,9.3,31.0,158.0,12.74,727.9,-1.734723475976807e-18,38.0,2.7,0.008,12.73,11.1,35.0
